winner,fight_duration_lastrnd,fight_duration_lastrnd_time,date,location,dob_x,height_x,n_draw_x,n_loss_x,n_win_x,name_x,reach_x,sig_str_abs_pM_x,sig_str_def_pct_x,sig_str_land_pM_x,sig_str_land_pct_x,sub_avg_x,td_avg_x,td_def_pct_x,td_land_pct_x,weight_x,dob_y,height_y,n_draw_y,n_loss_y,n_win_y,name_y,reach_y,sig_str_abs_pM_y,sig_str_def_pct_y,sig_str_land_pM_y,sig_str_land_pct_y,sub_avg_y,td_avg_y,td_def_pct_y,td_land_pct_y,weight_y,win_percentage_x,win_percentage_y,reach_advantage,total_fights_x,total_fights_y,finishing_rate_x,finishing_rate_y,age_x,age_y,age_difference,decision_method_1,decision_method_2,decision_method_3,decision_method_4,decision_method_5,decision_method_6,decision_method_7,decision_method_8,stance_x_1,stance_x_2,stance_x_3,stance_y_1,stance_y_2,stance_y_3,time_format_1,time_format_2,time_format_3,weight_class_1,weight_class_2,weight_class_3,weight_class_4,weight_class_5,weight_class_6,weight_class_7,weight_class_8,weight_class_9,weight_class_10,weight_class_11,weight_class_12,weight_class_13,weight_class_14,weight_class_15,weight_class_16,weight_class_17,weight_class_18,weight_class_19,weight_class_20,weight_class_21,weight_class_22,weight_class_23,weight_class_24,weight_class_25,weight_class_26,weight_class_27,weight_class_28,weight_class_29,weight_class_30,weight_class_31,weight_class_32,weight_class_33,weight_class_34,weight_class_35,weight_class_36,weight_class_37,weight_class_38,weight_class_39,weight_class_40,weight_class_41,weight_class_42,weight_class_43,weight_class_44,weight_class_45,weight_class_46,weight_class_47,weight_class_48,weight_class_49,weight_class_50,weight_class_51,weight_class_52,weight_class_53,weight_class_54,weight_class_55,weight_class_56,weight_class_57,weight_class_58,weight_class_59,weight_class_60,weight_class_61
1,3,292,"June 22, 2019",56,493,66,0.0,1.0,6.0,262,70.0,5.5,0.51,6.6,0.47,0.0,3.0,0.0,0.33,6,1068,73,0.0,6.0,12.0,363,73.0,5.72,0.55,3.71,0.45,1.0,1.31,0.75,0.2,6,0.8571428571428571,0.6666666666666666,-3.0,7.0,18.0,0.9428571428571428,0.2616666666666666,30,32,-2,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,3,292,"July 13, 2019",116,9,70,0.0,1.0,10.0,105,73.0,4.8,0.58,4.49,0.44,0.3,0.0,0.78,0.0,2,833,67,0.0,4.0,9.0,1132,70.0,3.76,0.56,4.84,0.39,0.0,0.0,0.55,0.0,2,0.9090909090909092,0.6923076923076923,3.0,11.0,13.0,0.4354545454545455,0.3723076923076923,25,28,-3,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,3,292,"October 25, 2008",114,770,69,0.0,15.0,28.0,935,70.0,3.42,0.62,3.73,0.41,0.3,0.71,0.63,0.6,5,879,70,0.0,10.0,19.0,604,73.0,2.27,0.63,1.79,0.36,0.4,2.46,0.64,0.48,5,0.6511627906976745,0.6551724137931034,-3.0,43.0,29.0,0.0937209302325581,0.0755172413793103,25,30,-5,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,3,227,"July 13, 2019",116,282,66,0.0,6.0,13.0,594,72.0,3.55,0.54,2.6,0.31,1.4,0.34,0.55,0.2,2,55,68,0.0,2.0,11.0,581,70.0,2.8,0.61,3.42,0.48,0.0,0.68,0.33,0.5,2,0.6842105263157895,0.8461538461538461,2.0,19.0,13.0,0.2105263157894736,0.2630769230769231,26,25,1,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,3,292,"July 13, 2019",116,563,63,0.0,2.0,13.0,595,63.0,3.45,0.62,1.79,0.37,1.9,3.35,0.25,0.5,0,105,60,0.0,2.0,9.0,156,62.0,1.53,0.65,4.8,0.38,0.0,3.0,0.33,0.75,0,0.8666666666666667,0.8181818181818182,1.0,15.0,11.0,0.246,0.4363636363636363,28,25,3,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,1,74,"October 25, 2008",114,382,76,0.0,6.0,21.0,523,77.0,3.09,0.58,4.76,0.48,0.1,0.33,0.8,0.55,11,526,76,1.0,8.0,23.0,374,77.0,2.45,0.56,3.61,0.51,1.1,1.65,0.31,0.3,9,0.7777777777777778,0.71875,0.0,27.0,32.0,0.1799999999999999,0.1471875,24,31,-7,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,3,32,"October 25, 2008",114,30,74,0.0,10.0,34.0,55,77.0,1.98,0.61,3.04,0.62,0.8,0.52,0.69,0.77,6,364,71,0.0,11.0,24.0,882,71.0,3.21,0.48,2.81,0.48,0.2,0.68,0.43,0.2,5,0.7727272727272727,0.6857142857142857,6.0,44.0,35.0,0.0872727272727272,0.086,33,28,5,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,180,"July 13, 2019",116,526,71,0.0,6.0,20.0,57,74.0,3.86,0.53,4.08,0.37,0.2,2.44,0.69,0.46,3,921,68,0.0,4.0,11.0,1030,72.0,3.64,0.63,3.0,0.42,0.0,0.0,0.53,0.0,3,0.7692307692307693,0.7333333333333333,2.0,26.0,15.0,0.1646153846153846,0.2,29,28,1,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,39,"July 13, 2019",116,657,66,0.0,10.0,35.0,968,67.0,2.52,0.64,2.68,0.41,0.9,1.59,0.6,0.31,2,192,66,0.0,3.0,15.0,939,69.0,3.79,0.65,2.96,0.4,0.2,6.53,0.71,0.49,2,0.7777777777777778,0.8333333333333334,-2.0,45.0,18.0,0.0795555555555555,0.1755555555555555,40,26,14,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,3,292,"July 13, 2019",116,899,72,1.0,4.0,14.0,659,74.0,2.85,0.66,4.05,0.41,0.6,1.43,0.8,0.45,6,321,73,0.0,8.0,14.0,183,78.0,2.44,0.53,1.9,0.42,0.5,2.69,0.84,0.53,6,0.7368421052631579,0.6363636363636364,-4.0,19.0,22.0,0.2447368421052631,0.109090909090909,25,34,-9,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
