winner,decision_method,fight_duration_lastrnd,fight_duration_lastrnd_time,time_format,weight_class,date,location,dob_x,height_x,n_draw_x,n_loss_x,n_win_x,name_x,reach_x,sig_str_abs_pM_x,sig_str_def_pct_x,sig_str_land_pM_x,sig_str_land_pct_x,stance_x,sub_avg_x,td_avg_x,td_def_pct_x,td_land_pct_x,weight_x,dob_y,height_y,n_draw_y,n_loss_y,n_win_y,name_y,reach_y,sig_str_abs_pM_y,sig_str_def_pct_y,sig_str_land_pM_y,sig_str_land_pct_y,stance_y,sub_avg_y,td_avg_y,td_def_pct_y,td_land_pct_y,weight_y,win_percentage_x,win_percentage_y,reach_advantage,total_fights_x,total_fights_y,finishing_rate_x,finishing_rate_y,age_x,age_y,age_difference
1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Light Heavyweight Bout,"April 14, 2012","Stockholm, Sweden","Jan 15, 1987","6' 5""",0.0,6.0,18.0,Alexander Gustafsson,79.0,3.44,0.51,4.02,0.4,Orthodox,0.4,1.56,0.85,0.39,205 lbs.,"Nov 12, 1982","6' 2""",0.0,3.0,16.0,Thiago Silva,74.0,2.55,0.67,3.92,0.5,Orthodox,0.7,1.03,0.7,0.47,205 lbs.,0.75,0.8421052631578947,5.0,24.0,19.0,0.18416666666666667,0.2431578947368421,32,37,-5
0,Overturned,3,5:00,3 Rnd (5-5-5),Middleweight Bout,"August 11, 2012","Denver, Colorado, USA","Jan 09, 1979","6' 0""",1.0,7.0,29.0,Jake Shields,72.0,1.8,0.56,2.45,0.36,Orthodox,1.2,2.83,0.35,0.29,170 lbs.,"Oct 02, 1980","6' 1""",0.0,14.0,26.0,Ed Herman,77.0,3.13,0.44,3.33,0.49,Orthodox,1.2,2.2,0.59,0.48,205 lbs.,0.7837837837837838,0.65,-5.0,37.0,40.0,0.09864864864864865,0.11325,40,39,1
1,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),UFC Lightweight Title Bout,"August 11, 2012","Denver, Colorado, USA","Nov 16, 1983","5' 9""",0.0,5.0,23.0,Benson Henderson,70.0,1.79,0.63,2.93,0.45,Southpaw,0.8,2.4,0.63,0.45,170 lbs.,"Oct 16, 1981","5' 6""",1.0,7.0,22.0,Frankie Edgar,68.0,2.39,0.69,3.6,0.39,Orthodox,0.3,2.36,0.65,0.31,145 lbs.,0.8214285714285714,0.7333333333333333,2.0,28.0,30.0,0.13321428571428573,0.13,36,38,-2
1,KO/TKO,1,1:16,3 Rnd (5-5-5),Lightweight Bout,"August 11, 2012","Denver, Colorado, USA","Mar 29, 1983","6' 1""",0.0,13.0,36.0,Donald Cerrone,73.0,4.23,0.53,4.34,0.46,Orthodox,1.3,1.21,0.73,0.36,155 lbs.,"Mar 30, 1983","5' 9""",3.0,15.0,48.0,Melvin Guillard,68.0,1.85,0.66,2.96,0.4,Orthodox,0.2,1.3,0.61,0.63,155 lbs.,0.7346938775510204,0.7272727272727273,5.0,49.0,66.0,0.11510204081632652,0.04787878787878788,36,36,0
0,KO/TKO,2,2:16,3 Rnd (5-5-5),Middleweight Bout,"August 11, 2012","Denver, Colorado, USA","Mar 07, 1982","6' 3""",0.0,6.0,13.0,Jared Hamman,75.0,3.93,0.55,5.15,0.42,Orthodox,0.0,1.57,0.3,0.46,185 lbs.,"Jun 07, 1989","6' 0""",0.0,3.0,12.0,Michael Kuiper,73.0,3.62,0.54,3.28,0.54,Orthodox,0.0,2.3,0.79,0.55,185 lbs.,0.6842105263157895,0.8,2.0,19.0,15.0,0.2710526315789474,0.21866666666666665,37,30,7
1,KO/TKO,2,3:05,3 Rnd (5-5-5),Middleweight Bout,"August 11, 2012","Denver, Colorado, USA","Jul 21, 1981","6' 2""",0.0,12.0,35.0,Yushin Okami,75.0,2.25,0.6,2.06,0.38,Southpaw,0.5,1.98,0.84,0.39,170 lbs.,"Oct 17, 1982","6' 2""",0.0,3.0,12.0,Buddy Roberts,,2.08,0.7,2.17,0.34,Orthodox,0.7,0.0,0.76,0.0,185 lbs.,0.7446808510638298,0.8,0.0,47.0,15.0,0.05446808510638298,0.19133333333333333,38,37,1
0,Decision - Split,3,5:00,3 Rnd (5-5-5),Featherweight Bout,"August 04, 2012","Los Angeles, California, USA","Apr 26, 1984","6' 1""",0.0,11.0,21.0,Cole Miller,74.0,3.88,0.59,3.0,0.33,Orthodox,1.8,0.6,0.38,0.36,145 lbs.,"Mar 13, 1983","5' 6""",0.0,14.0,18.0,Nam Phan,70.0,6.55,0.59,4.52,0.37,Orthodox,0.2,0.18,0.6,0.18,135 lbs.,0.65625,0.5625,4.0,32.0,32.0,0.15,0.1475,35,36,-1
0,Could Not Continue,1,1:28,3 Rnd (5-5-5),Light Heavyweight Bout,"August 04, 2012","Los Angeles, California, USA","Sep 25, 1984","6' 2""",0.0,3.0,13.0,Phil Davis,79.0,1.33,0.72,2.85,0.34,Orthodox,0.6,2.99,0.72,0.38,205 lbs.,"Dec 30, 1986","6' 0""",0.0,2.0,8.0,Wagner Prado,74.0,3.06,0.5,1.72,0.4,Southpaw,0.0,0.0,0.22,0.0,205 lbs.,0.8125,0.8,5.0,16.0,10.0,0.215625,0.172,35,32,3
0,Submission,1,3:15,3 Rnd (5-5-5),Featherweight Bout,"August 04, 2012","Los Angeles, California, USA","Oct 14, 1988","5' 11""",0.0,5.0,14.0,Josh Grispi,74.0,3.71,0.5,1.44,0.41,Orthodox,2.2,1.97,0.16,0.36,145 lbs.,"Sep 12, 1984","5' 6""",0.0,10.0,26.0,Rani Yahya,67.0,1.61,0.52,1.59,0.36,Orthodox,2.1,2.92,0.22,0.32,135 lbs.,0.7368421052631579,0.7222222222222222,7.0,19.0,36.0,0.19157894736842107,0.10250000000000001,31,35,-4
1,KO/TKO,4,4:09,5 Rnd (5-5-5-5-5),Light Heavyweight Bout,"August 04, 2012","Los Angeles, California, USA","Nov 25, 1981","6' 1""",1.0,11.0,26.0,Mauricio Rua,76.0,2.68,0.55,3.63,0.5,Orthodox,0.8,2.17,0.47,0.48,205 lbs.,"Oct 10, 1977","6' 3""",0.0,7.0,12.0,Brandon Vera,76.0,2.81,0.52,3.03,0.56,Orthodox,0.2,0.7,0.59,0.53,230 lbs.,0.6842105263157895,0.631578947368421,0.0,38.0,19.0,0.11657894736842105,0.17,38,42,-4
0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Middleweight Bout,"July 21, 2012","Calgary, Alberta, Canada","Dec 12, 1984","5' 11""",0.0,9.0,20.0,Court McGee,75.0,3.8,0.61,4.86,0.35,Orthodox,0.4,1.71,0.63,0.21,170 lbs.,"Feb 10, 1979","6' 0""",0.0,3.0,13.0,Nick Ring,74.0,3.48,0.62,3.52,0.42,Southpaw,0.3,1.36,0.52,0.36,185 lbs.,0.6896551724137931,0.8125,1.0,29.0,16.0,0.1813793103448276,0.23875,34,40,-6
