fight_id,fighter_1,fighter_1_id,fighter_2,fighter_2_id,winner,decision_method,fight_duration_lastrnd,fight_duration_lastrnd_time,time_format,weight_class,date,location,dob_x,height_x,n_draw_x,n_loss_x,n_win_x,name_x,reach_x,sig_str_abs_pM_x,sig_str_def_pct_x,sig_str_land_pM_x,sig_str_land_pct_x,stance_x,sub_avg_x,td_avg_x,td_def_pct_x,td_land_pct_x,weight_x,dob_y,height_y,n_draw_y,n_loss_y,n_win_y,name_y,reach_y,sig_str_abs_pM_y,sig_str_def_pct_y,sig_str_land_pM_y,sig_str_land_pct_y,stance_y,sub_avg_y,td_avg_y,td_def_pct_y,td_land_pct_y,weight_y
22a243c5fba0fb46,Francisco Trinaldo,a8283a4f415e1eb9,Akbarh Arreola,c136b2a8852da5bd,Francisco Trinaldo,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lightweight Bout,"March 21, 2015","Rio de Janeiro, Brazil","Aug 24, 1978","5' 9""",0.0,7.0,24.0,Francisco Trinaldo,"70""",2.47,0.6,3.09,0.44,Southpaw,0.5,1.08,0.61,0.45,155 lbs.,"Jan 14, 1983","5' 10""",1.0,10.0,23.0,Akbarh Arreola,"71""",4.01,0.56,2.32,0.45,Southpaw,0.4,1.07,0.33,1.0,155 lbs.
b068a4ee6d842606,Leandro Silva,159da492e000afbf,Drew Dober,519e4fe37ce9ff75,NC,Overturned,2,2:45,3 Rnd (5-5-5),Lightweight Bout,"March 21, 2015","Rio de Janeiro, Brazil","Nov 11, 1985","5' 9""",1.0,4.0,19.0,Leandro Silva,"72""",2.08,0.63,2.39,0.48,Orthodox,0.4,1.76,0.65,0.37,155 lbs.,"Oct 19, 1988","5' 8""",0.0,9.0,21.0,Drew Dober,"70""",4.14,0.53,4.44,0.39,Southpaw,0.1,0.96,0.62,0.17,155 lbs.
fe5427398fd9d9dc,Amanda Nunes,80fa8218c99f9c58,Shayna Baszler,8ef4a91ac694b7ce,Amanda Nunes,KO/TKO,1,1:56,3 Rnd (5-5-5),Women's Bantamweight Bout,"March 21, 2015","Rio de Janeiro, Brazil","May 30, 1988","5' 8""",0.0,4.0,18.0,Amanda Nunes,"69""",2.87,0.56,4.62,0.51,Orthodox,0.6,1.73,0.8,0.38,135 lbs.,"Aug 08, 1980","5' 7""",0.0,10.0,15.0,Shayna Baszler,"67""",6.36,0.51,2.49,0.3,Orthodox,1.3,0.67,0.44,0.18,135 lbs.
55c6d02e838dc60f,Gilbert Burns,23024fdfc966410a,Alex Oliveira,57b10fca4f9c9a7a,Gilbert Burns,Submission,3,4:14,3 Rnd (5-5-5),Lightweight Bout,"March 21, 2015","Rio de Janeiro, Brazil","Jul 20, 1986","5' 10""",0.0,3.0,17.0,Gilbert Burns,"71""",3.05,0.57,3.09,0.43,Orthodox,0.7,2.43,0.5,0.38,155 lbs.,"Feb 21, 1988","5' 11""",1.0,8.0,19.0,Alex Oliveira,"76""",2.25,0.46,2.9,0.5,Orthodox,0.7,2.86,0.61,0.39,170 lbs.
9150344ed35f355d,Godofredo Pepey,fa37628269132d1a,Andre Fili,8fd808923cffff82,Godofredo Pepey,Submission,1,3:14,3 Rnd (5-5-5),Featherweight Bout,"March 21, 2015","Rio de Janeiro, Brazil","Jul 02, 1987","5' 7""",0.0,6.0,14.0,Godofredo Pepey,"73""",3.23,0.47,2.32,0.38,Orthodox,1.5,0.37,0.35,0.07,145 lbs.,"Jun 25, 1990","5' 11""",0.0,6.0,20.0,Andre Fili,"74""",3.86,0.53,4.08,0.37,Orthodox,0.2,2.44,0.69,0.46,145 lbs.
0eac602503b48b1a,Leonardo Santos,9c65736747ca92ec,Anthony Rocco Martin,5331b25a60417ffb,Leonardo Santos,Submission,2,2:29,3 Rnd (5-5-5),Lightweight Bout,"March 21, 2015","Rio de Janeiro, Brazil","Feb 05, 1980","6' 0""",1.0,4.0,17.0,Leonardo Santos,"75""",2.58,0.61,2.4,0.41,Orthodox,0.4,1.1,0.86,0.25,155 lbs.,"Dec 11, 1989","6' 0""",0.0,5.0,17.0,Anthony Rocco Martin,"73""",2.45,0.59,2.7,0.36,Orthodox,1.1,0.68,0.64,0.25,170 lbs.
ec659c4e19f62700,William Patolino,ed74afc8b5b47a61,Matt Dwyer,8f0d576beba1cfcd,Matt Dwyer,KO/TKO,1,3:14,3 Rnd (5-5-5),Welterweight Bout,"February 22, 2015","Porto Alegre, Rio Grande do Sul, Brazil","Jul 01, 1991","5' 11""",0.0,3.0,8.0,William Patolino,"75""",3.96,0.65,4.92,0.54,Orthodox,0.0,1.85,0.78,0.45,170 lbs.,"Dec 17, 1989","6' 4""",0.0,4.0,8.0,Matt Dwyer,"76""",3.24,0.54,2.57,0.34,Orthodox,0.0,0.44,0.6,0.1,170 lbs.
bc096e8ae14582ec,Demian Maia,427b5953ac8e3a27,Ryan LaFlare,4c7781da8c6cae93,Demian Maia,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Welterweight Bout,"March 21, 2015","Rio de Janeiro, Brazil","Nov 06, 1977","6' 1""",0.0,9.0,28.0,Demian Maia,"72""",2.01,0.63,1.82,0.43,Southpaw,1.0,2.49,0.61,0.25,170 lbs.,"Oct 01, 1983","6' 1""",0.0,3.0,14.0,Ryan LaFlare,"74""",1.86,0.63,2.89,0.4,Southpaw,0.2,2.13,0.58,0.44,170 lbs.
10cff9ac7ce89c28,Douglas Silva de Andrade,3a314d9fa7c6825d,Cody Gibson,700a674c042b7a96,Douglas Silva de Andrade,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"February 22, 2015","Porto Alegre, Rio Grande do Sul, Brazil","Jun 22, 1985","5' 7""",0.0,3.0,26.0,Douglas Silva de Andrade,"68""",4.43,0.58,3.96,0.38,Orthodox,0.0,0.65,0.65,0.5,145 lbs.,"Sep 11, 1987","5' 10""",0.0,6.0,12.0,Cody Gibson,"71""",2.54,0.63,2.47,0.31,Orthodox,0.4,1.85,0.58,0.38,135 lbs.
1641d396e409a350,Erick Silva,5866fc86183a9fb8,Josh Koscheck,dd37fd509af89f15,Erick Silva,Submission,1,4:21,3 Rnd (5-5-5),Welterweight Bout,"March 21, 2015","Rio de Janeiro, Brazil","Jun 21, 1984","6' 0""",0.0,9.0,19.0,Erick Silva,"74""",4.18,0.49,2.5,0.48,Orthodox,1.4,0.85,0.56,0.35,170 lbs.,"Nov 30, 1977","5' 10""",0.0,10.0,19.0,Josh Koscheck,"73""",2.27,0.63,1.79,0.36,Orthodox,0.4,2.46,0.64,0.48,170 lbs.
