name,wins,losses,draws,height,weight,reach,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,last_update,last_match,total_fights,age,win_percentage
Brandon Sene,2,2,0.0,"5'11""",205lbs.,--,,"May21,1981",0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,,4.0,43.0,0.5
Jaimelene Nievera,7,4,0.0,"5'5""",125lbs.,--,Orthodox,"Oct28,1984",1.67,53%,8.73,33%,1.79,16%,0%,0.0,06-15-2023,06-26-2018,11.0,40.0,0.6363636363636364
Damian Grabowski,20,5,0.0,"6'1""",241lbs.,"75""",Orthodox,"May12,1980",4.0,36%,7.65,51%,0.0,0%,0%,0.0,06-15-2023,07-22-2017,25.0,44.0,0.8
Yizha,23,4,0.0,"5'7""",145lbs.,"70""",Orthodox,"Jan08,1997",2.08,45%,1.95,53%,6.52,42%,60%,1.4,06-15-2023,05-27-2023,27.0,27.0,0.8518518518518519
Michael Graves,6,0,1.0,"5'10""",170lbs.,"71""",Orthodox,"Jan08,1991",1.25,54%,1.47,58%,4.8,52%,66%,0.4,06-15-2023,07-30-2016,7.0,33.0,0.8571428571428571
Scott Bessac,4,6,0.0,"6'4""",245lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,12-16-1995,10.0,,0.4
Nikolajus Cilkinas,2,6,0.0,--,--,--,Orthodox,--,0.0,0%,5.88,16%,0.0,0%,0%,0.0,06-15-2023,03-18-2006,8.0,,0.25
Melissa Martinez,7,1,0.0,"5'2""",115lbs.,"66""",Southpaw,"Aug18,1997",3.0,57%,2.53,45%,1.0,50%,0%,0.0,06-15-2023,09-10-2022,8.0,27.0,0.875
Akira Corassani,12,6,0.0,"5'8""",145lbs.,"68""",Orthodox,"Aug27,1982",3.25,45%,4.91,50%,0.7,28%,86%,0.0,06-15-2023,01-24-2015,18.0,42.0,0.6666666666666666
Paul Redmond,12,7,0.0,"5'10""",145lbs.,--,Orthodox,"Oct20,1986",0.72,34%,2.99,41%,0.0,0%,50%,0.0,06-15-2023,07-18-2015,19.0,38.0,0.631578947368421
Roy Nelson,22,14,0.0,"6'0""",263lbs.,"73""",Orthodox,"Jun20,1976",2.18,36%,4.79,46%,1.14,27%,65%,0.1,06-15-2023,04-15-2017,36.0,48.0,0.6111111111111112
Dequan Townsend,21,12,0.0,"6'3""",205lbs.,"79""",Orthodox,"May11,1986",1.23,34%,3.92,38%,0.0,0%,46%,0.0,06-15-2023,10-03-2020,33.0,38.0,0.6363636363636364
Toby Misech,9,5,0.0,"5'8""",145lbs.,--,Southpaw,"Mar07,1988",3.27,40%,7.73,46%,0.0,0%,0%,0.0,06-15-2023,07-10-2018,14.0,36.0,0.6428571428571429
Yoshinori Horie,8,2,0.0,"5'8""",145lbs.,"70""",Orthodox,"May10,1995",2.76,49%,5.65,48%,0.0,0%,0%,0.0,06-15-2023,07-27-2019,10.0,29.0,0.8
Alessandro Costa,12,3,0.0,"5'4""",125lbs.,"67""",Orthodox,"Jan28,1996",2.28,30%,3.16,63%,0.0,0%,87%,0.0,06-15-2023,,15.0,28.0,0.8
Todd Butler,1,4,0.0,"6'1""",200lbs.,--,Southpaw,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,07-27-1997,5.0,,0.2
Courtney Buck,12,11,0.0,"5'10""",135lbs.,--,Orthodox,"Mar19,1982",1.49,28%,3.24,54%,0.0,0%,33%,0.0,06-15-2023,03-06-2010,23.0,42.0,0.5217391304347826
Micah Miller,20,8,0.0,"6'0""",145lbs.,--,Orthodox,"Feb14,1987",1.33,33%,2.15,54%,0.98,37%,21%,2.0,06-15-2023,03-08-2009,28.0,37.0,0.7142857142857143
Charles Rosa,14,8,0.0,"5'9""",145lbs.,"69""",Switch,"Aug24,1986",3.08,36%,3.86,47%,1.67,35%,38%,1.0,06-15-2023,07-23-2022,22.0,38.0,0.6363636363636364
Nikk Covert,3,4,0.0,"5'8""",185lbs.,--,,"Aug04,1969",0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,06-22-2007,7.0,55.0,0.42857142857142855
Lumumba Sayers,6,5,0.0,"6'0""",185lbs.,--,,"Jun30,1978",2.54,41%,2.37,48%,7.63,75%,0%,2.5,06-15-2023,08-18-2012,11.0,46.0,0.5454545454545454
Wagnney Fabiano,16,4,0.0,"5'6""",145lbs.,"69""",Southpaw,"Jul14,1975",1.19,38%,0.66,70%,3.44,64%,100%,0.4,06-15-2023,11-11-2010,20.0,49.0,0.8
DeAnna Bennett,8,3,1.0,"5'4""",125lbs.,"68""",Orthodox,"Nov18,1984",3.13,58%,3.27,58%,0.0,0%,0%,1.0,06-15-2023,12-01-2017,12.0,40.0,0.6666666666666666
James Wallace,5,2,0.0,"5'10""",155lbs.,"69""",Orthodox,"Nov17,1992",0.52,28%,3.41,35%,0.0,0%,0%,0.0,06-15-2023,07-09-2019,7.0,32.0,0.7142857142857143
Rolando Bedoya,14,2,0.0,"5'11""",170lbs.,"74""",Orthodox,"Jan13,1997",9.93,71%,8.67,54%,0.0,0%,0%,0.0,06-15-2023,05-06-2023,16.0,27.0,0.875
Din Thomas,26,9,0.0,"5'9""",155lbs.,--,Orthodox,"Sep28,1976",1.85,37%,2.6,59%,1.38,52%,76%,1.2,06-15-2023,04-02-2008,35.0,48.0,0.7428571428571429
Yazmin Jauregui,10,0,0.0,"5'3""",115lbs.,"64""",Orthodox,"Feb28,1999",6.35,41%,4.23,57%,0.0,0%,100%,0.0,06-15-2023,,10.0,25.0,1.0
Carlton Minus,10,3,0.0,"5'10""",170lbs.,"75""",Orthodox,"Apr26,1993",3.5,40%,4.97,50%,0.0,0%,58%,0.0,06-15-2023,12-19-2020,13.0,31.0,0.7692307692307693
John Yoo,0,1,0.0,--,135lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,,1.0,,0.0
Themba Gorimbo,11,4,0.0,"6'1""",170lbs.,"77""",Orthodox,"Jan23,1991",1.8,59%,1.71,42%,3.47,50%,66%,0.0,06-15-2023,05-20-2023,15.0,33.0,0.7333333333333333
Mark Eddiva,6,3,0.0,"5'8""",145lbs.,"68""",Orthodox,"Feb16,1986",3.37,45%,2.98,54%,1.45,22%,63%,0.0,06-15-2023,03-19-2016,9.0,38.0,0.6666666666666666
Kay Hansen,7,6,0.0,"5'2""",115lbs.,"63""",Orthodox,"Aug14,1999",3.01,50%,3.19,51%,1.83,22%,37%,0.8,06-15-2023,04-09-2022,13.0,25.0,0.5384615384615384
Jodie Esquibel,6,6,0.0,"5'1""",115lbs.,"64""",Orthodox,"May07,1986",4.1,31%,7.37,52%,0.75,21%,83%,0.0,06-15-2023,08-17-2019,12.0,38.0,0.5
Chris Spang,6,3,0.0,"6'2""",170lbs.,--,Orthodox,"Nov26,1987",1.83,36%,1.95,60%,0.0,0%,50%,0.9,06-15-2023,04-06-2013,9.0,37.0,0.6666666666666666
Kolton Englund,9,4,0.0,"5'10""",155lbs.,"69""",Orthodox,"Jul09,1993",2.31,25%,11.54,40%,0.0,0%,0%,0.0,06-15-2023,10-26-2021,13.0,31.0,0.6923076923076923
David Terrell,6,2,0.0,"6'1""",185lbs.,--,Southpaw,"Jan09,1978",2.34,63%,2.71,37%,5.54,50%,0%,5.5,06-15-2023,04-15-2006,8.0,46.0,0.75
Caio Borralho,14,1,0.0,"5'10""",185lbs.,"75""",Southpaw,"Jan16,1993",2.59,61%,1.86,59%,2.63,66%,57%,0.7,06-15-2023,04-29-2023,15.0,31.0,0.9333333333333333
Alan Belcher,18,8,0.0,"6'2""",185lbs.,"75""",Orthodox,"Apr24,1984",2.7,41%,3.1,59%,0.44,26%,55%,0.9,06-15-2023,04-27-2013,26.0,40.0,0.6923076923076923
Edmen Shahbazyan,12,4,0.0,"6'2""",185lbs.,"75""",Orthodox,"Nov20,1997",3.46,51%,4.13,43%,2.17,39%,63%,0.6,06-15-2023,05-20-2023,16.0,27.0,0.75
Dennis Dombrow,7,5,0.0,--,145lbs.,--,,"Mar17,1986",0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,02-18-2011,12.0,38.0,0.5833333333333334
Daniel Zellhuber,13,1,0.0,"6'1""",155lbs.,"77""",Switch,"Jul07,1999",5.44,40%,4.84,53%,0.33,33%,91%,0.0,06-15-2023,04-15-2023,14.0,25.0,0.9285714285714286
Zviad Lazishvili,13,1,0.0,"5'6""",135lbs.,"69""",Orthodox,"Oct25,1991",4.2,39%,6.13,51%,0.0,0%,0%,0.0,06-15-2023,10-23-2021,14.0,33.0,0.9285714285714286
Josh Diekmann,15,8,0.0,"5'4""",246lbs.,--,,"Oct09,1976",0.28,5%,8.17,25%,0.0,0%,0%,0.0,06-15-2023,10-12-2006,23.0,48.0,0.6521739130434783
Ariel Gandulla,7,9,0.0,"5'11""",205lbs.,--,Orthodox,"May07,1968",1.95,23%,2.07,72%,1.88,66%,0%,0.0,06-15-2023,12-12-2007,16.0,56.0,0.4375
Levi Alford,1,7,0.0,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,,8.0,,0.125
Hyder Amil,7,0,0.0,--,145lbs.,--,,"May28,1990",0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,,7.0,34.0,1.0
Miika Mehmet,3,5,0.0,--,205lbs.,--,Orthodox,--,0.33,12%,7.29,24%,0.0,0%,0%,0.0,06-15-2023,07-16-2005,8.0,,0.375
Chris Condo,0,1,0.0,"6'0""",335lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,05-07-1999,1.0,,0.0
Jailton Almeida,19,2,0.0,"6'3""",205lbs.,"79""",Orthodox,"Jun26,1991",3.81,64%,0.3,25%,6.4,68%,50%,2.5,06-15-2023,05-13-2023,21.0,33.0,0.9047619047619048
Achilles Estremadura,7,1,0.0,"5'10""",155lbs.,"68""",Orthodox,"Mar11,1992",3.2,43%,3.27,70%,0.0,0%,0%,0.0,06-15-2023,11-02-2021,8.0,32.0,0.875
Raphael Pessoa,10,2,0.0,"6'3""",262lbs.,"78""",Orthodox,"Mar09,1989",2.16,26%,3.43,42%,0.0,0%,100%,0.0,06-15-2023,07-25-2020,12.0,35.0,0.8333333333333334
Rob Yundt,9,5,0.0,"6'1""",185lbs.,--,Orthodox,"May05,1980",1.37,41%,2.55,31%,2.94,100%,0%,0.0,06-15-2023,06-21-2008,14.0,44.0,0.6428571428571429
Sam Liera,12,10,0.0,--,--,--,,--,0.82,60%,7.36,51%,0.0,0%,66%,0.0,06-15-2023,09-29-2007,22.0,,0.5454545454545454
Sijara Eubanks,8,7,0.0,"5'4""",125lbs.,"67""",Orthodox,"Apr27,1985",4.3,43%,3.43,57%,1.9,44%,66%,0.3,06-15-2023,12-18-2021,15.0,39.0,0.5333333333333333
Johnny Cisneros,9,6,0.0,"5'11""",170lbs.,--,,"Feb05,1980",0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,,15.0,44.0,0.6
Brian Davidson,13,4,0.0,"5'6""",145lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,11-20-2009,17.0,,0.7647058823529411
Demian Maia,28,11,0.0,"6'1""",170lbs.,"72""",Southpaw,"Nov06,1977",1.8,43%,2.07,63%,2.49,24%,61%,1.0,06-15-2023,06-12-2021,39.0,47.0,0.717948717948718
Derek Getzel,8,5,0.0,"6'0""",155lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,11-19-2010,13.0,,0.6153846153846154
Royce Gracie,15,2,3.0,"6'1""",175lbs.,--,Southpaw,"Dec12,1966",0.88,41%,1.13,37%,0.0,0%,66%,0.8,06-15-2023,06-02-2007,20.0,57.0,0.75
Damian Stasiak,10,6,0.0,"5'5""",135lbs.,"70""",Orthodox,"Feb20,1990",1.86,36%,3.1,52%,2.64,35%,43%,0.6,06-15-2023,07-22-2018,16.0,34.0,0.625
Kultar Gill,12,8,0.0,"6'0""",154lbs.,--,Orthodox,"Mar24,1979",1.14,50%,0.4,41%,1.71,66%,38%,0.0,06-15-2023,07-21-2008,20.0,45.0,0.6
Bart Palaszewski,36,17,0.0,"5'9""",145lbs.,"70""",Orthodox,"May30,1983",2.67,32%,3.97,57%,0.65,31%,53%,0.5,06-15-2023,04-13-2013,53.0,41.0,0.6792452830188679
Patricia Alujas,9,2,0.0,--,115lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,,11.0,,0.8181818181818182
Steve Ramirez,5,2,0.0,"5'7""",125lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,,7.0,,0.7142857142857143
Georgi Karakhanyan,26,7,1.0,"5'8""",145lbs.,--,,"May29,1985",4.49,39%,5.0,54%,1.41,50%,33%,1.9,06-15-2023,12-31-2012,34.0,39.0,0.7647058823529411
Brogan Walker,8,4,0.0,"5'4""",125lbs.,"67""",Switch,"Aug02,1988",2.04,30%,3.7,47%,0.0,0%,11%,0.0,06-15-2023,04-22-2023,12.0,36.0,0.6666666666666666
Cyrille Diabate,19,10,1.0,"6'6""",205lbs.,"81""",Southpaw,"Oct06,1973",4.06,71%,1.78,60%,1.17,83%,53%,0.2,06-15-2023,03-08-2014,30.0,51.0,0.6333333333333333
Steve Byrnes,6,1,0.0,"6'0""",170lbs.,--,Orthodox,--,1.2,51%,2.67,27%,3.0,60%,0%,4.0,06-15-2023,12-13-2006,7.0,,0.8571428571428571
Yokthai Sithoar,0,1,0.0,"5'7""",143lbs.,--,,"Dec25,1974",0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,10-24-2010,1.0,49.0,0.0
Gabriel Benitez,23,11,0.0,"5'8""",155lbs.,"71""",Southpaw,"Jun15,1988",4.79,41%,4.05,65%,0.27,50%,58%,1.1,06-15-2023,08-13-2022,34.0,36.0,0.6764705882352942
Kevin Haley,6,4,0.0,"6'2""",205lbs.,--,,--,0.87,59%,0.87,64%,3.0,100%,0%,2.0,06-15-2023,,10.0,,0.6
Inoue Mizuki,14,6,0.0,"5'3""",125lbs.,"65""",Orthodox,"Aug19,1994",5.0,50%,6.87,48%,0.0,0%,66%,0.0,06-15-2023,08-22-2020,20.0,30.0,0.7
Rilley Dutro,11,4,0.0,"5'8""",125lbs.,--,Orthodox,"Sep03,1987",4.74,54%,5.95,33%,0.0,0%,83%,0.0,06-15-2023,07-10-2018,15.0,37.0,0.7333333333333333
Maria Silva,8,1,0.0,"5'3""",115lbs.,"64""",Orthodox,"Dec19,1995",3.0,57%,1.13,62%,2.0,100%,55%,0.5,06-15-2023,08-30-2022,9.0,28.0,0.8888888888888888
Paul Herrera,1,1,0.0,"5'10""",185lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,02-16-1996,2.0,,0.5
Reuben Duran,11,7,1.0,"5'7""",135lbs.,"71""",Orthodox,"Jul02,1983",3.19,49%,2.61,50%,0.98,23%,25%,0.7,06-15-2023,03-16-2013,19.0,41.0,0.5789473684210527
Augusto Sakai,16,5,1.0,"6'3""",265lbs.,"77""",Orthodox,"May09,1991",4.6,49%,3.83,48%,0.23,40%,56%,0.0,06-15-2023,02-25-2023,22.0,33.0,0.7272727272727273
Jens Pulver,27,19,1.0,"5'7""",145lbs.,"70""",Southpaw,"Dec06,1974",2.12,37%,3.13,56%,0.22,33%,63%,0.3,06-15-2023,03-06-2010,47.0,50.0,0.574468085106383
Ian Garry,12,0,0.0,"6'3""",170lbs.,"74""",Orthodox,"Nov17,1997",6.85,55%,4.09,53%,0.29,50%,63%,0.0,06-15-2023,05-13-2023,12.0,27.0,1.0
Travis Johnson,0,1,0.0,--,205lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,06-27-2008,1.0,,0.0
Jaime Alvarez,6,1,0.0,"5'8""",125lbs.,"69""",Orthodox,"Mar08,1988",2.73,40%,4.53,56%,1.0,33%,50%,0.0,06-15-2023,08-15-2017,7.0,36.0,0.8571428571428571
Michael McBride,8,3,0.0,"6'1""",155lbs.,--,Orthodox,"Mar09,1986",4.08,48%,5.85,40%,1.85,42%,30%,1.2,06-15-2023,04-22-2017,11.0,38.0,0.7272727272727273
Katsunori Kikuno,24,8,2.0,"5'8""",145lbs.,"66""",Orthodox,"Oct31,1981",2.64,40%,2.47,61%,1.88,75%,76%,0.8,06-15-2023,09-26-2015,34.0,43.0,0.7058823529411765
Falaniko Vitale,30,11,0.0,"5'10""",185lbs.,--,Orthodox,"Jul14,1974",1.88,49%,3.68,47%,0.72,33%,86%,0.0,06-15-2023,10-03-2008,41.0,50.0,0.7317073170731707
Tatsuro Taira,13,0,0.0,"5'7""",125lbs.,"70""",Orthodox,"Jan27,2000",2.79,64%,1.05,54%,2.62,35%,60%,3.7,06-15-2023,,13.0,24.0,1.0
Muslim Salikhov,19,3,0.0,"5'11""",170lbs.,"70""",Orthodox,"Jun09,1984",3.3,49%,2.43,67%,1.2,35%,77%,0.0,06-15-2023,,22.0,40.0,0.8636363636363636
Roxanne Modafferi,25,21,0.0,"5'7""",125lbs.,"69""",Orthodox,"Sep24,1982",3.35,30%,5.7,51%,1.35,23%,30%,0.1,06-15-2023,02-12-2022,46.0,42.0,0.5434782608695652
Hector Sandoval,14,4,0.0,"5'2""",125lbs.,"64""",Orthodox,"Jul19,1986",3.31,52%,2.33,65%,3.49,25%,71%,1.4,06-15-2023,08-05-2017,18.0,38.0,0.7777777777777778
Jeri Sitzes,3,1,0.0,"5'5""",125lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,09-25-2009,4.0,,0.75
Gleidson Cutis,7,4,0.0,"5'9""",155lbs.,--,Orthodox,"Feb07,1989",2.99,52%,8.28,59%,0.0,0%,0%,0.0,06-15-2023,08-12-2018,11.0,35.0,0.6363636363636364
Marcelo Aguiar,2,3,1.0,"5'10""",170lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,06-09-2000,6.0,,0.3333333333333333
Renee Forte,8,4,0.0,"5'7""",155lbs.,"71""",Orthodox,"Mar27,1987",2.08,32%,2.12,63%,2.32,58%,66%,0.0,06-15-2023,03-15-2014,12.0,37.0,0.6666666666666666
Shingo Kohara,1,0,0.0,"5'6""",135lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,04-11-2009,1.0,,1.0
Daniel Pereira,9,2,0.0,"5'10""",185lbs.,--,,"Dec13,1990",0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,,11.0,33.0,0.8181818181818182
Frank Caracci,2,3,0.0,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,01-08-1999,5.0,,0.4
Pawan Maan,7,3,1.0,"5'7""",155lbs.,"70""",Orthodox,"Apr06,1986",0.89,44%,2.98,43%,0.0,0%,0%,0.0,06-15-2023,06-09-2022,11.0,38.0,0.6363636363636364
Pedro Otavio,19,8,0.0,"6'3""",245lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,06-24-1998,27.0,,0.7037037037037037
Leonardo Morales,6,2,0.0,"5'8""",135lbs.,--,Southpaw,"Dec22,1992",2.05,47%,2.05,58%,0.0,0%,62%,0.0,06-15-2023,06-06-2015,8.0,31.0,0.75
Ron Faircloth,33,20,0.0,"5'9""",205lbs.,--,Orthodox,"Aug16,1979",0.39,40%,8.9,42%,0.0,0%,0%,0.0,06-15-2023,10-07-2005,53.0,45.0,0.6226415094339622
Armando Villarreal,5,2,0.0,"5'7""",135lbs.,"66""",Southpaw,"Aug08,1989",3.23,55%,4.3,52%,3.23,25%,0%,0.0,06-15-2023,07-16-2019,7.0,35.0,0.7142857142857143
Joe Duarte,10,4,0.0,--,155lbs.,--,,"Jan25,1977",2.27,38%,4.0,53%,3.0,50%,69%,1.0,06-15-2023,07-14-2012,14.0,47.0,0.7142857142857143
Minoki Ichihara,0,1,0.0,"5'7""",178lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,03-11-1994,1.0,,0.0
Bruno Carvalho,10,5,0.0,"5'8""",154lbs.,--,,"Jun07,1982",0.6,45%,0.93,53%,0.0,0%,66%,4.0,06-15-2023,07-16-2011,15.0,42.0,0.6666666666666666
Jason Novelli,11,3,1.0,"6'0""",155lbs.,--,Orthodox,"Jun08,1979",1.73,24%,3.55,66%,0.7,33%,100%,0.0,06-15-2023,11-05-2016,15.0,45.0,0.7333333333333333
Henry Miller,6,16,0.0,"5'7""",270lbs.,--,Southpaw,"Jul16,1969",1.25,36%,2.16,54%,0.55,25%,60%,0.0,06-15-2023,10-23-2005,22.0,55.0,0.2727272727272727
Ivan Valenzuela,8,2,0.0,"6'2""",185lbs.,"77""",Orthodox,"Nov17,1992",0.0,0%,9.6,33%,0.0,0%,0%,0.0,06-15-2023,08-16-2022,10.0,32.0,0.8
Jordan Radev,23,5,0.0,"5'7""",185lbs.,--,Southpaw,"Sep28,1976",1.35,23%,2.38,66%,0.0,0%,80%,0.0,06-15-2023,12-29-2007,28.0,48.0,0.8214285714285714
Sovannahry Em,3,1,0.0,"5'4""",135lbs.,--,,"Jun26,1992",0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,,4.0,32.0,0.75
Timur Valiev,18,3,0.0,"5'6""",135lbs.,"67""",Orthodox,"Jan19,1990",5.19,53%,3.33,45%,1.73,40%,55%,0.3,06-15-2023,03-19-2022,21.0,34.0,0.8571428571428571
Chris Gutierrez,19,4,2.0,"5'9""",135lbs.,"67""",Orthodox,"Apr22,1991",4.75,58%,2.76,64%,0.38,37%,74%,0.1,06-15-2023,04-15-2023,25.0,33.0,0.76
Sean Brady,15,1,0.0,"5'10""",170lbs.,"72""",Orthodox,"Nov23,1992",4.17,53%,3.86,62%,2.8,50%,87%,0.8,06-15-2023,,16.0,32.0,0.9375
Andre Galvao,5,2,0.0,"5'7""",168lbs.,--,Orthodox,"Sep29,1982",2.34,52%,1.56,58%,2.02,27%,0%,2.8,06-15-2023,10-09-2010,7.0,42.0,0.7142857142857143
Mark Robinson,1,0,0.0,"6'0""",265lbs.,--,Orthodox,--,0.0,0%,5.8,13%,0.0,0%,0%,0.0,06-15-2023,02-23-2001,1.0,,1.0
Masio Fullen,11,7,0.0,"5'10""",145lbs.,"70""",Orthodox,"Oct06,1986",2.46,32%,3.5,54%,0.47,33%,69%,0.0,06-15-2023,01-30-2016,18.0,38.0,0.6111111111111112
Chris Avila,5,4,0.0,"5'10""",145lbs.,--,Orthodox,"Jan16,1993",2.37,30%,4.17,48%,0.0,0%,46%,0.0,06-15-2023,11-05-2016,9.0,31.0,0.5555555555555556
Shinsho Anzai,10,3,0.0,"5'7""",170lbs.,"70""",Orthodox,"Dec01,1985",3.23,58%,3.75,45%,1.83,16%,75%,0.0,06-15-2023,06-23-2018,13.0,39.0,0.7692307692307693
Yuri Vaulin,0,1,0.0,"6'4""",197lbs.,--,Southpaw,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,07-27-1997,1.0,,0.0
Sean Woodson,9,1,1.0,"6'2""",145lbs.,"78""",Orthodox,"Jun07,1992",5.56,45%,4.26,56%,0.0,0%,82%,0.7,06-15-2023,08-20-2022,11.0,32.0,0.8181818181818182
Gokhan Saki,1,2,0.0,"6'0""",205lbs.,"73""",Orthodox,"Oct19,1983",7.09,58%,4.57,53%,0.0,0%,100%,0.0,06-15-2023,07-07-2018,3.0,41.0,0.3333333333333333
Hugo Cunha,6,0,0.0,"6'4""",250lbs.,--,,"Feb04,1993",0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,,6.0,31.0,1.0
Valerie Letourneau,8,6,0.0,"5'7""",115lbs.,"68""",Orthodox,"Apr29,1983",4.51,37%,5.4,58%,0.77,45%,66%,0.3,06-15-2023,12-10-2016,14.0,41.0,0.5714285714285714
Joey Beltran,17,14,0.0,"6'1""",185lbs.,"75""",Orthodox,"Dec08,1981",4.92,36%,5.27,54%,0.48,18%,75%,0.0,06-15-2023,10-09-2013,31.0,42.0,0.5483870967741935
Patrick Smith,20,17,0.0,"6'2""",225lbs.,--,Orthodox,"Aug28,1963",0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,07-14-1995,37.0,61.0,0.5405405405405406
Brent Primus,8,0,0.0,"5'10""",155lbs.,--,,"Apr12,1985",1.73,39%,2.27,59%,5.0,38%,0%,2.0,06-15-2023,,8.0,39.0,1.0
Abu Azaitar,14,3,1.0,"5'9""",185lbs.,"76""",Orthodox,"Mar10,1986",5.21,44%,5.35,50%,0.5,25%,40%,0.0,06-15-2023,03-27-2021,18.0,38.0,0.7777777777777778
Miles Johns,13,2,0.0,"5'7""",135lbs.,"66""",Orthodox,"Mar30,1994",3.63,48%,2.85,69%,0.86,19%,92%,0.0,06-15-2023,,15.0,30.0,0.8666666666666667
Oumar Sy,6,0,0.0,--,205lbs.,--,,"Nov21,1995",0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,,6.0,29.0,1.0
Reese Andy,7,3,0.0,"6'0""",205lbs.,--,Orthodox,"Mar31,1973",2.87,50%,3.5,58%,0.67,20%,40%,0.0,06-15-2023,12-27-2008,10.0,51.0,0.7
Sean O'Haire,4,2,0.0,"6'5""",270lbs.,--,Orthodox,"Feb25,1971",8.28,57%,22.76,21%,0.0,0%,0%,0.0,06-15-2023,10-21-2006,6.0,53.0,0.6666666666666666
Larry Cureton,0,2,0.0,"6'2""",240lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,09-08-1995,2.0,,0.0
Richard Jacobi,6,1,1.0,"6'4""",260lbs.,"75""",Orthodox,"Sep28,1993",0.88,44%,3.94,51%,3.28,100%,100%,0.0,06-15-2023,09-20-2022,8.0,31.0,0.75
Ryan Couture,11,5,0.0,"5'10""",155lbs.,"73""",Orthodox,"Aug27,1982",3.54,45%,2.87,54%,1.55,29%,46%,1.3,06-15-2023,08-31-2013,16.0,42.0,0.6875
Daniel Omielanczuk,19,8,0.0,"6'0""",247lbs.,"74""",Southpaw,"Aug31,1982",3.09,57%,3.29,47%,0.56,26%,68%,0.1,06-15-2023,07-08-2017,27.0,42.0,0.7037037037037037
Barb Honchak,10,4,0.0,"5'4""",125lbs.,"65""",Orthodox,"Aug30,1979",4.04,30%,4.67,66%,0.0,0%,0%,1.3,06-15-2023,07-06-2018,14.0,45.0,0.7142857142857143
Dan Hardy,25,10,0.0,"6'0""",170lbs.,"74""",Orthodox,"May17,1982",2.46,35%,3.44,51%,0.73,35%,35%,0.4,06-15-2023,09-29-2012,35.0,42.0,0.7142857142857143
Andy Wang,7,8,0.0,"5'6""",155lbs.,--,Orthodox,"May28,1977",3.43,36%,10.29,62%,0.0,0%,0%,0.0,06-15-2023,06-23-2007,15.0,47.0,0.4666666666666667
Modestas Bukauskas,14,5,0.0,"6'3""",205lbs.,"78""",Switch,"Feb10,1994",3.37,38%,4.02,50%,0.0,0%,71%,0.0,06-15-2023,,19.0,30.0,0.7368421052631579
Janaina Silva,5,0,0.0,--,115lbs.,--,,"Feb16,1992",0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,,5.0,32.0,1.0
Tatsuya Mizuno,16,12,1.0,"6'1""",205lbs.,--,Southpaw,"Jun02,1981",2.25,37%,3.52,53%,1.19,25%,40%,3.6,06-15-2023,07-16-2011,29.0,43.0,0.5517241379310345
Jeremy Umphries,5,2,0.0,--,160lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,06-16-2010,7.0,,0.7142857142857143
