name,wins,losses,draws,height,weight,reach,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,last_update,last_match,total_fights,age,win_percentage
Josh Bryant,15,4,0.0,"5'10""",185lbs.,--,Orthodox,"Apr23,1980",1.1,20%,6.1,43%,0.0,0%,0%,0.0,06-15-2023,06-19-2010,19.0,44.0,0.7894736842105263
Israel Delgado,0,2,0.0,"5'10""",155lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,,2.0,,0.0
Yoko Takahashi,15,12,2.0,"5'8""",150lbs.,--,,"Apr20,1973",5.11,54%,8.78,48%,0.0,0%,0%,0.0,06-15-2023,10-04-2008,29.0,51.0,0.5172413793103449
Henry Briones,16,8,1.0,"5'8""",135lbs.,"69""",Orthodox,"Oct22,1980",3.47,42%,4.68,53%,0.0,0%,52%,0.6,06-15-2023,05-19-2018,25.0,44.0,0.64
Jay Perrin,10,7,0.0,"5'7""",135lbs.,"67""",Switch,"Jun15,1993",3.71,46%,3.9,44%,2.83,52%,58%,0.0,06-15-2023,12-10-2022,17.0,31.0,0.5882352941176471
Lloyd Van Dams,0,1,0.0,"6'1""",240lbs.,--,Southpaw,"Mar05,1972",0.0,0%,3.01,15%,0.0,0%,0%,0.0,06-15-2023,08-28-2002,1.0,52.0,0.0
Adrian Yanez,16,4,0.0,"5'7""",135lbs.,"70""",Orthodox,"Nov29,1993",6.75,40%,5.89,59%,0.0,0%,100%,0.0,06-15-2023,04-08-2023,20.0,31.0,0.8
Jason Reinhardt,20,3,0.0,"5'6""",135lbs.,--,Orthodox,"Oct31,1969",0.51,40%,4.07,43%,1.91,12%,50%,0.0,06-15-2023,08-14-2011,23.0,55.0,0.8695652173913043
Darko Stosic,13,4,0.0,"6'0""",205lbs.,"76""",Orthodox,"Feb09,1992",2.61,45%,4.04,58%,3.42,50%,83%,0.0,06-15-2023,01-25-2020,17.0,32.0,0.7647058823529411
Harris Sarmiento,36,26,0.0,"5'9""",155lbs.,--,Orthodox,"Sep09,1983",0.84,25%,3.46,36%,2.36,60%,57%,0.0,06-15-2023,07-22-2006,62.0,41.0,0.5806451612903226
DeMarco Villalona,1,3,0.0,"5'9""",185lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,,4.0,,0.25
Sean Sherk,36,4,1.0,"5'6""",155lbs.,"67""",Orthodox,"Aug05,1973",2.17,35%,2.71,55%,4.09,46%,56%,0.4,06-15-2023,09-25-2010,41.0,51.0,0.8780487804878049
Rafael Alves,20,12,0.0,"5'8""",155lbs.,"68""",Orthodox,"Nov14,1990",1.85,48%,3.3,58%,0.29,25%,44%,1.5,06-15-2023,02-25-2023,32.0,34.0,0.625
Abubakar Nurmagomedov,17,4,1.0,"5'11""",170lbs.,"72""",Orthodox,"Nov13,1989",2.78,53%,2.61,65%,1.25,22%,88%,0.0,06-15-2023,06-03-2023,22.0,35.0,0.7727272727272727
Dustin Poirier,29,7,0.0,"5'9""",155lbs.,"72""",Southpaw,"Jan19,1989",5.51,50%,4.25,54%,1.39,36%,63%,1.2,06-15-2023,,36.0,35.0,0.8055555555555556
Masakatsu Okuda,8,5,0.0,--,--,--,,--,0.0,0%,4.27,34%,0.0,0%,0%,4.3,06-15-2023,11-05-2005,13.0,,0.6153846153846154
Rayanne Amanda,11,6,0.0,"5'2""",115lbs.,"62""",Orthodox,"Jun08,1995",3.67,31%,6.87,57%,1.0,25%,0%,0.0,06-15-2023,08-23-2022,17.0,29.0,0.6470588235294118
Rudyard Moncayo,0,3,0.0,"5'10""",195lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,07-14-1995,3.0,,0.0
Alex Zuniga,6,3,0.0,--,145lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,06-19-2009,9.0,,0.6666666666666666
Kevin Jordan,11,9,0.0,"6'3""",245lbs.,--,Orthodox,"Dec31,1970",2.0,40%,1.91,55%,0.0,0%,77%,0.6,06-15-2023,09-25-2009,20.0,53.0,0.55
Michael Knaap,18,22,3.0,"6'2""",220lbs.,--,Orthodox,"Feb27,1984",0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,06-23-2007,43.0,40.0,0.4186046511627907
Artem Lobov,13,15,0.0,"5'9""",145lbs.,"65""",Southpaw,"Aug11,1986",3.52,41%,4.82,50%,0.39,25%,52%,0.0,06-15-2023,10-27-2018,28.0,38.0,0.4642857142857143
Emily Ducote,12,8,0.0,"5'2""",115lbs.,"63""",Orthodox,"Jan01,1994",6.64,46%,8.38,54%,0.0,0%,90%,0.0,06-15-2023,05-20-2023,20.0,30.0,0.6
Trent Jenkins,0,4,0.0,"6'2""",185lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,12-16-1995,4.0,,0.0
Kerry Schall,24,13,0.0,"6'2""",265lbs.,--,Orthodox,"Aug09,1971",0.94,11%,4.84,63%,0.0,0%,0%,0.0,06-15-2023,11-05-2005,37.0,53.0,0.6486486486486487
Igor Borisov,1,1,0.0,"6'0""",235lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,08-27-2000,2.0,,0.5
Tsuyoshi Kurihara,10,8,2.0,"5'10""",185lbs.,--,Orthodox,"Jul13,1973",0.0,0%,12.0,50%,0.0,0%,0%,0.0,06-15-2023,12-02-2005,20.0,51.0,0.5
Khabib Nurmagomedov,29,0,0.0,"5'10""",155lbs.,"70""",Orthodox,"Sep20,1988",4.1,48%,1.75,65%,5.32,48%,84%,0.8,06-15-2023,10-24-2020,29.0,36.0,1.0
Carina Damm,2,13,0.0,"5'4""",135lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,08-13-2010,15.0,,0.13333333333333333
Anthony Avila,13,5,0.0,"5'7""",145lbs.,--,,"Dec29,1988",0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,04-01-2011,18.0,35.0,0.7222222222222222
Pete Sell,10,7,0.0,"5'11""",170lbs.,"75""",Orthodox,"Aug05,1982",2.6,42%,3.65,51%,0.91,21%,47%,0.9,06-15-2023,03-07-2009,17.0,42.0,0.5882352941176471
Bas Rutten,28,4,1.0,"6'1""",205lbs.,--,Orthodox,"Feb24,1965",5.59,61%,2.06,79%,0.0,0%,0%,0.0,06-15-2023,07-22-2006,33.0,59.0,0.8484848484848485
Nick Fiore,6,2,0.0,"5'10""",155lbs.,"72""",Orthodox,"Dec10,1997",2.83,46%,7.93,42%,2.5,45%,71%,0.0,06-15-2023,05-20-2023,8.0,26.0,0.75
Nayara Maia,7,1,1.0,"5'5""",125lbs.,"66""",Orthodox,"Jul25,1990",0.6,36%,3.33,43%,1.0,33%,0%,1.0,06-15-2023,09-06-2022,9.0,34.0,0.7777777777777778
Denis Sobolev,4,7,0.0,"6'3""",216lbs.,--,Orthodox,--,0.0,0%,5.45,33%,0.0,0%,0%,0.0,06-15-2023,03-25-2001,11.0,,0.36363636363636365
